File Number,Rarity Score,Position
46,60002.05,1
692,58145.97,2
776,41979.13,3
939,40480.74,4
432,39431.90,5
861,37229.11,6
658,32050.61,7
347,31805.07,8
990,31649.16,9
345,29806.65,10
346,28461.34,11
479,28295.94,12
819,27890.20,13
934,27429.43,14
902,27404.45,15
584,27300.66,16
379,26648.09,17
766,26289.42,18
449,25687.39,19
423,25049.01,20
446,24688.80,21
434,24341.18,22
305,24131.35,23
115,23853.76,24
853,23713.05,25
673,23584.55,26
39,23460.73,27
705,23290.28,28
976,23101.66,29
275,22847.45,30
548,22359.06,31
764,22209.62,32
18,22103.30,33
464,21998.95,34
42,21949.50,35
842,21941.01,36
119,21911.14,37
812,21645.40,38
435,21358.38,39
443,21354.76,40
73,21198.69,41
125,20888.42,42
640,20815.16,43
651,20655.57,44
788,20589.43,45
470,20333.23,46
170,20328.59,47
217,20182.53,48
566,20008.96,49
146,19883.40,50
230,19709.26,51
549,19375.13,52
964,19350.44,53
382,19312.09,54
799,19308.67,55
474,19171.72,56
899,19001.13,57
359,18972.58,58
292,18651.72,59
159,18638.71,60
772,18631.26,61
280,18603.44,62
496,18504.97,63
366,18179.47,64
965,18168.05,65
310,18160.59,66
948,18135.43,67
480,18081.47,68
358,18057.09,69
852,18030.02,70
195,17833.35,71
611,17800.80,72
751,17798.01,73
293,17761.47,74
564,17688.83,75
198,17467.96,76
507,17426.55,77
175,17317.00,78
7,17284.92,79
647,17233.05,80
502,17227.12,81
926,17202.89,82
52,17111.79,83
745,17062.51,84
246,17009.15,85
455,16992.61,86
11,16903.75,87
272,16898.66,88
946,16814.37,89
921,16601.33,90
314,16567.86,91
489,16565.33,92
983,16415.18,93
770,16379.64,94
139,16360.29,95
362,16351.11,96
961,16298.62,97
805,16287.70,98
664,16137.29,99
763,16127.44,100
354,16076.14,101
684,15972.25,102
218,15963.66,103
339,15871.85,104
896,15777.37,105
107,15525.16,106
913,15431.82,107
968,15361.35,108
940,15312.03,109
950,15233.34,110
210,15140.91,111
161,15136.29,112
740,15113.44,113
823,15078.26,114
79,15035.61,115
406,15021.32,116
703,15003.17,117
870,14936.34,118
580,14926.77,119
889,14921.57,120
557,14763.36,121
718,14744.06,122
526,14736.38,123
248,14641.75,124
38,14607.53,125
514,14603.72,126
